"Guid","Name","SBQQ__Action__c","SBQQ__Active__c","SBQQ__BrandButton__c","SBQQ__Class__c","SBQQ__ConditionsMet__c","SBQQ__Default__c","SBQQ__Description__c","SBQQ__DisplayOrder__c","SBQQ__EventHandlerName__c","SBQQ__IconClass__c","SBQQ__Icon__c","SBQQ__Label__c","SBQQ__Location__c","SBQQ__PageHandlerName__c","SBQQ__Page__c","SBQQ__ParentCustomAction__c","SBQQ__ReturnURL__c","SBQQ__TargetObject__c","SBQQ__Type__c","SBQQ__URLTarget__c","SBQQ__URL__c"
0b5cdb67-d2d2-4abb-8e27-3fe7dfe406b7,Clone Line,Clone Line,true,false,cloneBtn,All,false,"#N/A",993.0,onCloneLine,sf-icon-copy,copy,Clone Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
1556002d-ee12-49cc-91a1-f2739ab378e9,Save,Save,true,true,saveBtn,All,false,"#N/A",916.0,onSave,"#N/A","#N/A",Save,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
17f5446b-cb6e-4f48-b54c-cb03cf83fef4,View Consumption Schedule,View Consumption Schedule,true,false,viewConsumptionScheduleBtn,All,false,"#N/A",998.0,onViewConsumptionSchedule,sf-icon-paired-lines,paired-lines,View Consumption Schedule,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
196f0e7f-37d6-4a3f-80ff-2caf1b9fbe43,Add Recommendations,Add Recommendations,false,false,addRecommendedProductsBtn,All,false,"#N/A",920.0,onAddRecommendedProducts,"#N/A","#N/A",Add Recommendations,Quote/Group,"#N/A",Quote Line Editor,3ea761a0-bfbd-41f4-ac51-7ba266cd2536,"#N/A","#N/A",Button,"#N/A","#N/A"
1a4d7e4e-1c05-4dd8-b0d0-a16ab56fb790,Apply Edit Rules,Apply Edit Rules,true,false,"#N/A",All,false,"#N/A",901.0,"#N/A","#N/A","#N/A",Apply Rules,Configurator,"#N/A",Product Configurator,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
1e1d197a-f7d7-4f3e-aada-9bc3d145242b,Calculate,Calculate,true,false,calculateBtn,All,false,"#N/A",913.0,onFlagCalculate,"#N/A","#N/A",Calculate,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
208bf832-25ff-473b-b623-046f75aee6d3,Quick Save,Quick Save,true,false,quickSaveBtn,All,false,"#N/A",912.0,onQuickSave,"#N/A","#N/A",Quick Save,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
341e4c5b-8ee6-4d46-9f09-366b69032d32,Cancel,Cancel,true,false,cancelBtn,All,false,"#N/A",915.0,onCancel,"#N/A","#N/A",Cancel,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
3ea761a0-bfbd-41f4-ac51-7ba266cd2536,Add Products,Add Products,true,false,addProductsBtn,All,false,"#N/A",900.0,onAddProducts,"#N/A","#N/A",Add Products,Quote/Group,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Menu,"#N/A","#N/A"
3ec80359-4dc1-44f1-9b66-9c8e53eb7b4e,View Pricing Guidance,View Pricing Guidance,true,false,viewPricingGuidanceBtn,All,false,"#N/A",999.0,onViewPricingGuidance,sf-icon-target,target,View Pricing Guidance,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
