"Guid","SBQQ__AppliedImmediatelyContext__c","SBQQ__AppliedImmediately__c","SBQQ__Bundled__c","SBQQ__ComponentCodePosition__c","SBQQ__ComponentCode__c","SBQQ__ComponentDescriptionPosition__c","SBQQ__ComponentDescription__c","SBQQ__ConfiguredSKU__c","SBQQ__DefaultPricingTable__c","SBQQ__DiscountAmount__c","SBQQ__DiscountSchedule__c","SBQQ__Discount__c","SBQQ__DiscountedByPackage__c","SBQQ__ExistingQuantity__c","SBQQ__Feature__c","SBQQ__MaxQuantity__c","SBQQ__MinQuantity__c","SBQQ__Number__c","SBQQ__OptionalSKU__c","SBQQ__QuantityEditable__c","SBQQ__Quantity__c","SBQQ__QuoteLineVisibility__c","SBQQ__RenewalProductOption__c","SBQQ__Required__c","SBQQ__Selected__c","SBQQ__SubscriptionScope__c","SBQQ__System__c","SBQQ__Type__c","SBQQ__UnitPrice__c","SBQQ__UpliftedByPackage__c"
0aa35625-2d81-4e1f-9e0f-c9276fc83ff1,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",61199cbe-8e74-48ab-add9-4054839b14bf,"#N/A","#N/A",10.0,afa1b822-c8e1-46df-b595-ddf8073892d4,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
14042c14-50d0-4a87-ba24-197d71833e79,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",de582aac-3bcd-4bf2-b1be-a7b6e195a81f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",d1be1717-d8cb-49cc-9770-f837af06e6bd,"#N/A","#N/A",10.0,7c3ec29e-ca96-404e-ad16-6f61d8453b67,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
1b6430af-dd4b-4516-9085-f0225c8ba579,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",1678b338-70cf-4fc1-9d7e-4d9f7a37bcd9,"#N/A","#N/A",12.0,c0f94091-3818-475e-9ff7-5d3b43be8bc4,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
1bc61b8e-bc6a-435a-b608-15088734d64f,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",61199cbe-8e74-48ab-add9-4054839b14bf,"#N/A","#N/A",10.0,8920882f-2f36-4dd8-a3f0-bba88b3bae00,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
1ef085a6-452f-42d4-a672-3208ceceaf67,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",de582aac-3bcd-4bf2-b1be-a7b6e195a81f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",d1be1717-d8cb-49cc-9770-f837af06e6bd,"#N/A","#N/A",10.0,7d0f8a94-551b-468c-9719-bc0aad2636f8,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
22d44e1d-3b75-46e2-a84e-859b01e167ec,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",de582aac-3bcd-4bf2-b1be-a7b6e195a81f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",d1be1717-d8cb-49cc-9770-f837af06e6bd,"#N/A","#N/A",10.0,2d29fb0c-befb-4ce4-b135-c946312312fd,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
23be259c-3188-4b97-a283-448edd53773f,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",61199cbe-8e74-48ab-add9-4054839b14bf,"#N/A","#N/A",10.0,c7ad1850-3064-4ae5-912f-74b63d44394c,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
24d85a23-d234-43d2-8f5d-0b9242287cb8,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",de582aac-3bcd-4bf2-b1be-a7b6e195a81f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",d1be1717-d8cb-49cc-9770-f837af06e6bd,"#N/A","#N/A",10.0,d9828f18-9c6a-481e-980e-6178cd821780,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
391b0b82-e4c8-43f9-8bbb-476e2608fce1,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",de582aac-3bcd-4bf2-b1be-a7b6e195a81f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",92925d0d-bdd8-4a23-97f8-b9337af4021a,"#N/A","#N/A",12.0,f3397b1b-eeb2-4e1b-a9b9-236b72d8d031,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
3d1c07af-a135-43f7-b5bc-71614c693637,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",1678b338-70cf-4fc1-9d7e-4d9f7a37bcd9,"#N/A","#N/A",12.0,573f287b-9b95-4230-ab54-9c8b1ee6d487,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
