"Guid","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
0ffa9cd3-d49a-41a0-86b2-e40ed02e6eec,false,"#N/A","#N/A",Completed,a344x0000000vW7AAI::QuoteCalculator,"#N/A","#N/A"
2cdfd572-2a89-4984-b4ad-1227a89fbdbd,false,"#N/A","#N/A",Completed,a344x0000000vWRAAY::QuoteCalculator,"#N/A","#N/A"
772995a9-9eb2-4924-a393-beddf1a14a3b,false,"#N/A","#N/A",Completed,a344x0000000vWMAAY::QuoteCalculator,"#N/A","#N/A"
89ae6516-95e2-4a4f-8cfa-ae8529f98bc5,false,"#N/A",7075e0000016ZyM,"#N/A",a344x0000000vMeAAI::QuoteCalculator,"#N/A","#N/A"
9ae7348b-3a8f-4f37-8442-29f9c7f0170b,true,"#N/A",7075e0000016ZyP,"#N/A",a344x0000000vW7AAI::QuoteDocumentService,"#N/A","#N/A"
b2c74565-d0a0-4a7e-86d1-d4af9e966247,false,"#N/A","#N/A",Completed,8005e000000TftaAAC::AmendContract,/apex/sbqq__sb?id=a345e000000CkvEAAS,"#N/A"
ba003756-8018-476f-9ff6-d3d4d5f134bb,false,"#N/A","#N/A",Completed,a344x0000000vWWAAY::QuoteCalculator,"#N/A","#N/A"
c1baf685-b94e-40c7-a405-5df874979077,false,"#N/A","#N/A",Completed,a35008538549684AAA::AsyncAmendmentJob,"#N/A","#N/A"
d744579e-3c8a-4bd1-87f8-271b3bb176bf,false,"#N/A",7075e000000p97Z,"#N/A",a345e000000CdVeAAK::QuoteCalculator,"#N/A","#N/A"
e3ccbf32-b693-4728-9f39-7d344cde6bdf,false,"#N/A",7075e0000016ZyN,Completed,a344x0000000vWCAAY::QuoteCalculator,"#N/A","#N/A"
ef96fbb6-5630-4727-ab58-887713598fea,false,"#N/A",7075e0000016ZyO,Completed,a344x0000000vWHAAY::QuoteCalculator,"#N/A","#N/A"
